poi_category,poi_lat,poi_lon
school,3.074350728199594,101.56148936255583
school,3.098175443026582,101.61992116781866
school,3.110563360350448,101.6169257950732
school,2.900138061037731,101.8695348535779
school,2.899034101701845,101.86992558872603
school,3.0186521507234314,101.8073890334999
school,3.013111121299982,101.7872066115392
school,3.005724994764256,101.78312985343365
school,3.0485483378768534,101.51635782751134
school,3.0604192227882994,101.5574905884062
school,3.0824689245254793,101.5389711965546
school,3.088240122666956,101.52206706665791
school,3.0532746757757936,101.53301992057933
school,3.051737888421807,101.53354831156825
school,3.058353208712136,101.50397348422382
school,3.191674577597299,101.59226201079333
school,3.1931820082665894,101.59246127220254
school,3.068715752113146,101.58216014180877
school,3.0695348309349333,101.5902253
school,3.064956478310815,101.59003505004333
school,3.069629855659683,101.58816244748837
school,3.0769509808358984,101.583182276073
school,3.0666857246195396,101.57632783053731
school,3.066689834804506,101.57740975306761
school,3.2080638290312438,101.56268722444226
school,3.2069428214347075,101.56172614139847
school,3.1058205542103807,101.60774681284803
school,3.1856119843142894,101.60564289107134
school,3.1878219712976974,101.61636512729996
school,3.185162343702881,101.6042946453049
school,3.0990692752110536,101.6054682043567
school,3.1083406424667133,101.59704166808999
school,3.19431228940482,101.60950045750472
school,3.1959148845907133,101.60744891337642
school,3.191780905558817,101.60544752121216
school,3.1916208279196474,101.60412349316537
school,3.151913518864651,101.61141837674151
school,3.153738603963545,101.61131212539324
school,3.227204805507512,101.5524947673604
school,3.2085781767954615,101.57708311127934
school,2.9447068779272323,101.77970515126006
school,2.9507748418583226,101.7800279344885
school,2.946617267449942,101.77955250363028
school,3.2304213294308686,101.55570775097334
school,3.0016904467682775,101.67717912834092
school,2.996664421399941,101.62275189631485
school,3.0064173684175475,101.71425813660895
school,3.1009772703905893,101.65276668940682
school,3.1007913627935486,101.65363654873772
school,3.1099796376216804,101.6562089691406
school,3.0049124007769232,101.68977028324066
school,3.084971346236218,101.64406655975154
school,3.0976503651941476,101.63657096493787
school,3.0966155625060123,101.63662179508779
school,3.1093944328273593,101.63958293113247
school,3.082933437990509,101.79153461556574
school,3.0819524169496124,101.79099179044837
school,2.6456089696331233,101.721807296396
school,3.2564061892990153,101.52151418019216
school,3.255425015395586,101.52044364890422
school,3.1172931445476166,101.6443552206244
school,3.127444358939582,101.62277411785544
school,3.1391530050418797,101.61125501984588
school,3.1216970122707064,101.63451726155904
school,3.105621344293883,101.64080946507305
school,3.1160917487503843,101.60679442110494
school,3.21439829327677,101.5297547812775
school,3.2297287781164608,101.53555106736776
school,3.1614129282536205,101.75433580018294
school,3.2190434664119807,101.53154052966788
school,3.2533797917701235,101.52424150381039
school,3.2206364184900687,101.62191714040533
school,3.2224850070025486,101.62245110149615
school,3.0783586,101.63138654999999
school,3.078490832845709,101.63036076574873
school,3.0778354730075193,101.63494080912629
school,3.0775300334675935,101.63595739679815
school,3.0777850966605027,101.57358519695525
school,3.0777850966605027,101.57358519695525
school,3.074803574920475,101.59230390567745
school,3.0371226226510055,101.51732135319148
school,3.0378597831739595,101.51631199393454
school,3.04371712868935,101.62591082587066
school,3.027538413675865,101.6221950533504
school,3.0278987272069635,101.62322865051719
school,3.0285217319953053,101.62819432814032
school,3.0403872084931414,101.60945990661916
school,3.063362212826982,101.62332175715224
school,3.0639219983959025,101.62403567027097
school,3.056767939952382,101.62636369845505
school,3.0286954561215076,101.5879521544938
school,3.037919107424608,101.58070426444938
school,3.036453184629864,101.58934198844808
school,3.018774350774771,101.58115822329842
school,3.0374674500000003,101.59202585
school,3.0427843336660185,101.57419505725987
school,3.0427843336660185,101.57419505725987
school,3.044076761365813,101.57435390049802
school,3.044076761365813,101.57435390049802
school,3.0438958542560224,101.59160578455378
school,3.045272059075335,101.59161910243868
school,3.0555925155261776,101.58858300877618
school,3.050261863293568,101.6031781230066
school,3.051747917096745,101.80333186612837
school,3.0529938746864493,101.8019976383884
school,3.051581171447023,101.63586135120582
school,3.0389003327871906,101.64159486181681
school,3.0509283577612076,101.64281473362807
school,3.0555577012292274,101.63523179308369
school,3.0559065902719444,101.63833948331674
school,3.0133387888522396,101.789011634984
school,3.055479982329588,101.64230947354235
school,3.0534557462553473,101.64355524963308
